Comment,Designator,Footprint,LCSC Part #
1uF,C1 C3 C5,SMD-0805,C28323
0.1uF,C2 C4 C6,SMD-0805,C49678
220uF,C7,CAPPRD750W80D1600H2700,C698141
LED_0603LED_SMD_0603,COOL HEAT PWR,LED_SMD_0603,C2286
RELAYPTH,COOL_RELAY HEAT_RELAY,SRD-05VDC-SL-C,C35449
SMAJ7.0A,D1,DIOM4325X250N,C309904
,D3 D4,DO214AC,C95872
0697H8000-01,F1,FUSRR508W60L835T400H810,C3157783
2A_SLOW,F2,FUSE_BK/PCE-5-R,C3161740
,OW_VSEL,JP2-NOLABEL,C2937625
IRM-10-5,PS1,IRM-10_MWU,C2857903
,Q1 Q2,SOT23,C20526
680R,R1,SMD-0805,C17798
S14K350,R2,S10K350,C78355
4.7k,R3,SMD-0805,C17673
1k,R4 R5,SMD-0805,C17513
WEMOS-D32D32_PRO_NO-KEEPOUT,U$7 U$8,D32_PRO_NO-KEEPOUT,C18078137
BPC-817S,U1 U2,SOIC127P700X210-4N,C106900
,X1 X2 X3,W237-102,C8269
RJ45-8X,X4,RJ45-NO-SHIELD,C3000197
