Designator,Mid X,Mid Y,Rotation,Layer
C1,2.4625,65.0,0.0,top
C2,2.4625,60.5,0.0,top
C3,1.5,55.5,0.0,top
C4,1.5,50.5,0.0,top
C5,23.5,35.0375,90.0,top
C6,28.0,34.9625,90.0,top
C7,32.5,33.5,90.0,top
C8,37.0,33.25,90.0,top
D1,17.0,74.0,0.0,top
J1,9.5,73.5,180.0,top
J2,2.5,31.0,180.0,top
J3,37.12,73.0,270.0,top
J4,2.5,16.96,180.0,top
J5,10.5,48.0,180.0,top
J6,4.7175,9.6,0.0,top
J7,37.225,3.5,90.0,top
J8,22.92,10.0,90.0,top
Q1,25.5,53.3625,270.0,top
Q2,9.5,60.8625,270.0,top
R1,12.475,18.0,0.0,top
R10,16.955,70.505,0.0,top
R2,13.405,23.0,180.0,top
R3,31.0,53.5,0.0,top
R4,12.0,64.5,0.0,top
R5,36.5,53.5,0.0,top
R6,7.5,64.5,0.0,top
R7,23.0,26.0,0.0,top
R8,37.025,15.5,0.0,top
R9,37.0,26.0,180.0,top
U1,30.5,21.0,0.0,top
U2,30.0,38.0,0.0,top
